id,personId1,personId2
1,1,2501
2,1,1251
3,1,3751
4,1,626
5,1,1876
6,1,3126
7,1,4376
8,1,314
9,1,939
10,1,1564
11,1,2189
12,1,2814
13,1,3439
14,1,4064
15,1,4689
16,1,157
17,1,470
18,1,782
19,1,1095
20,1,1407
21,1,1720
22,1,2032
23,1,2345
24,1,2657
25,1,2970
26,1,3282
27,1,3595
28,1,3907
29,1,4220
30,1,4532
31,1,4845
32,1,79
33,1,235
34,1,392
35,1,548
36,1,704
37,1,860
38,1,1017
39,1,1173
40,1,1329
41,1,1485
42,1,1642
43,1,1798
44,1,1954
45,1,2110
46,1,2267
47,1,2423
48,1,2579
49,1,2735
50,1,2892
51,1,3048
52,1,3204
53,1,3360
54,1,3517
55,1,3673
56,1,3829
57,1,3985
58,1,4142
59,1,4298
60,1,4454
61,1,4610
62,1,4767
63,1,4923
64,1,40
65,1,118
66,1,196
67,1,274
68,1,353
69,1,431
70,1,509
71,1,587
72,1,665
73,1,743
74,1,821
75,1,899
76,1,978
77,1,1056
78,1,1134
79,1,1212
80,1,1290
81,1,1368
82,1,1446
83,1,1524
84,1,1603
85,1,1681
86,1,1759
87,1,1837
88,1,1915
89,1,1993
90,1,2071
91,1,2149
92,1,2228
93,1,2306
94,1,2384
95,1,2462
96,1,2540
97,1,2618
98,1,2696
99,1,2774
100,1,2853
101,1,2931
102,1,3009
103,1,3087
104,1,3165
105,1,3243
106,1,3321
107,1,3399
108,1,3478
109,1,3556
110,1,3634
111,1,3712
112,1,3790
113,1,3868
114,1,3946
115,1,4024
116,1,4103
117,1,4181
118,1,4259
119,1,4337
120,1,4415
121,1,4493
122,1,4571
123,1,4649
124,1,4728
125,1,4806
126,1,4884
127,1,4962
128,1,21
129,1,60
130,1,99
131,1,138
132,1,177
133,1,216
134,1,255
135,1,294
136,1,333
137,1,372
138,1,411
139,1,450
140,1,489
141,1,528
142,1,567
143,1,606
144,1,646
145,1,685
146,1,724
147,1,763
148,1,802
149,1,841
150,1,880
151,1,919
152,1,958
153,1,997
154,1,1036
155,1,1075
156,1,1114
157,1,1153
158,1,1192
159,1,1231
160,1,1271
161,1,1310
162,1,1349
163,1,1388
164,1,1427
165,1,1466
166,1,1505
167,1,1544
168,1,1583
169,1,1622
170,1,1661
171,1,1700
172,1,1739
173,1,1778
174,1,1817
175,1,1856
176,1,1896
177,1,1935
178,1,1974
179,1,2013
180,1,2052
181,1,2091
182,1,2130
183,1,2169
184,1,2208
185,1,2247
186,1,2286
187,1,2325
188,1,2364
189,1,2403
190,1,2442
191,1,2481
192,1,2521
193,1,2560
194,1,2599
195,1,2638
196,1,2677
197,1,2716
198,1,2755
199,1,2794
200,1,2833
201,1,2872
202,1,2911
203,1,2950
204,1,2989
205,1,3028
206,1,3067
207,1,3106
208,1,3146
209,1,3185
210,1,3224
211,1,3263
212,1,3302
213,1,3341
214,1,3380
215,1,3419
216,1,3458
217,1,3497
218,1,3536
219,1,3575
220,1,3614
221,1,3653
222,1,3692
223,1,3731
224,1,3771
225,1,3810
226,1,3849
227,1,3888
228,1,3927
229,1,3966
230,1,4005
231,1,4044
232,1,4083
233,1,4122
234,1,4161
235,1,4200
236,1,4239
237,1,4278
238,1,4317
239,1,4356
240,1,4396
241,1,4435
242,1,4474
243,1,4513
244,1,4552
245,1,4591
246,1,4630
247,1,4669
248,1,4708
249,1,4747
250,1,4786
251,1,4825
252,1,4864
253,1,4903
254,1,4942
255,1,4981
256,1,11
257,1,30
258,1,50
259,1,69
260,1,89
261,1,108
262,1,128
263,1,147
264,1,167
265,1,187
266,1,206
267,1,226
268,1,245
269,1,265
270,1,284
271,1,304
272,1,323
273,1,343
274,1,362
275,1,382
276,1,401
277,1,421
278,1,440
279,1,460
280,1,480
281,1,499
282,1,519
283,1,538
284,1,558
285,1,577
286,1,597
287,1,616
288,1,636
289,1,655
290,1,675
291,1,694
292,1,714
293,1,733
294,1,753
295,1,772
296,1,792
297,1,812
298,1,831
299,1,851
300,1,870
301,1,890
302,1,909
303,1,929
304,1,948
305,1,968
306,1,987
307,1,1007
308,1,1026
309,1,1046
310,1,1065
311,1,1085
312,1,1105
313,1,1124
314,1,1144
315,1,1163
316,1,1183
317,1,1202
318,1,1222
319,1,1241
320,1,1261
321,1,1280
322,1,1300
323,1,1319
324,1,1339
325,1,1358
326,1,1378
327,1,1397
328,1,1417
329,1,1437
330,1,1456
331,1,1476
332,1,1495
333,1,1515
334,1,1534
335,1,1554
336,1,1573
337,1,1593
338,1,1612
339,1,1632
340,1,1651
341,1,1671
342,1,1690
343,1,1710
344,1,1730
345,1,1749
346,1,1769
347,1,1788
348,1,1808
349,1,1827
350,1,1847
351,1,1866
352,1,1886
353,1,1905
354,1,1925
355,1,1944
