id,personId1,personId2
1,1,1251
2,1,626
3,1,1876
4,1,314
5,1,939
6,1,1564
7,1,2189
8,1,157
9,1,470
10,1,782
11,1,1095
12,1,1407
13,1,1720
14,1,2032
15,1,2345
16,1,79
17,1,235
18,1,392
19,1,548
20,1,704
21,1,860
22,1,1017
23,1,1173
24,1,1329
25,1,1485
26,1,1642
27,1,1798
28,1,1954
29,1,2110
30,1,2267
31,1,2423
32,1,40
33,1,118
34,1,196
35,1,274
36,1,353
37,1,431
38,1,509
39,1,587
40,1,665
41,1,743
42,1,821
43,1,899
44,1,978
45,1,1056
46,1,1134
47,1,1212
48,1,1290
49,1,1368
50,1,1446
51,1,1524
52,1,1603
53,1,1681
54,1,1759
55,1,1837
56,1,1915
57,1,1993
58,1,2071
59,1,2149
60,1,2228
61,1,2306
62,1,2384
63,1,2462
64,1,21
65,1,60
66,1,99
67,1,138
68,1,177
69,1,216
70,1,255
71,1,294
72,1,333
73,1,372
74,1,411
75,1,450
76,1,489
77,1,528
78,1,567
79,1,606
80,1,646
81,1,685
82,1,724
83,1,763
84,1,802
85,1,841
86,1,880
87,1,919
88,1,958
89,1,997
90,1,1036
91,1,1075
92,1,1114
93,1,1153
94,1,1192
95,1,1231
96,1,1271
97,1,1310
98,1,1349
99,1,1388
100,1,1427
101,1,1466
102,1,1505
103,1,1544
104,1,1583
105,1,1622
106,1,1661
107,1,1700
108,1,1739
109,1,1778
110,1,1817
111,1,1856
112,1,1896
113,1,1935
114,1,1974
115,1,2013
116,1,2052
117,1,2091
118,1,2130
119,1,2169
120,1,2208
121,1,2247
122,1,2286
123,1,2325
124,1,2364
125,1,2403
126,1,2442
127,1,2481
128,1,11
129,1,30
130,1,50
131,1,69
132,1,89
133,1,108
134,1,128
135,1,147
136,1,167
137,1,187
138,1,206
139,1,226
140,1,245
141,1,265
142,1,284
143,1,304
144,1,323
145,1,343
146,1,362
147,1,382
148,1,401
149,1,421
150,1,440
151,1,460
152,1,480
153,1,499
154,1,519
155,1,538
156,1,558
